layer,position,Orientation,Volume Fraction (%),X
1,1,151.56,45.82,98.21
1,2,6.5,45.53,264.42
1,3,15,52.22,414.04
1,4,55.2,44.59,55.35
1,4,55.2,44.59,50.87
2,1,44.7,54.33,240.45
2,3,39.8,52.42,340.99
3,1,2.9,45.45,252.86
1,1,133.7,47.57,193.78
1,1,133.7,47.57,143.72
1,2,151.8,48.71,276.04
1,3,35.6,49.42,192.08
2,1,164.7,45.52,350.2
2,2,132.3,44.98,118.21
2,3,1,46.16,236.22
2,4,16.6,55.55,222.71
2,5,25.45,51.17,366.93
3,1,136.2,51.94,83.77
1,2,143.53,43.67,97.8
1,3,159.55,50.77,156.09
1,3,159.55,50.77,39.78
2,1,159.19,49.81,72.11
2,2,172.6,44.39,319.22
2,3,44.5,41.21,141.92
3,1,155.6,52.55,52.09
3,2,31.18,49.79,223.78
4,1,127.7,48.62,57.09
1,1,150,41.58,68.95
1,2,40.3,47.99,150.83
1,2,40.3,47.99,498.25
1,2,40.3,47.99,263.8
1,3,63.1,47.59,198.01
2,1,147.07,47.78,155.4
2,1,147.07,47.78,162.35
2,2,21.1,49.08,58.43
3,1,151.7,43.79,90.76
3,2,24.6,52.87,354.34
3,3,55.8,47.35,195.7
4,1,70.22,55.28,54.12
1,1,124.9,41.48,137.84
1,1,124.9,41.48,114.67
1,3,42.36,49.05,227.76
2,1,126,43.19,125.17
2,2,8.9,51.83,226
2,3,30.9,38.79,335.02
1,1,151,51.07,14.86
1,2,160.2,55.56,314.86
1,3,21.3,51.1,168.81
2,1,132.9,47,74.16
2,2,171.5,48.3,228.68
